Nama_User,Rating,Tanggal,Ulasan,Ulasan_Bersih
Sena Wahyu,1,2026-03-01 16:55:14,"sering kali error, koneksi terputus, bener bener gak nyaman..",sering kali error koneksi terputus bener bener gak nyaman
aldi waluyo,1,2026-03-01 13:40:44,"ayolah para it yaitu programer dan lainnya ini aplikasimu banyak bugnya , koneksi sering error putus , tracking armada tidak muncul masa gini terus perbaiki lah masa ngak ada tim IT nya untuk mengatasi troubleshoot seperti ini seperti di biarkan begini",ayolah para it yaitu programer dan lainnya ini aplikasimu banyak bugnya koneksi sering error putus tracking armada tidak muncul masa gini terus perbaiki lah masa ngak ada tim it nya untuk mengatasi troubleshoot seperti ini seperti di biarkan begini
Baraa Ziyad Ramadhan,1,2026-02-28 11:28:36,tolong di setiap bus stop di berikan tempat duduk dan tempat berteduh,tolong di setiap bus stop di berikan tempat duduk dan tempat berteduh
mufida aly,3,2026-02-27 19:44:58,banyak bug. lupa password susah dilakuin,banyak bug lupa password susah dilakuin
Hamid Amid,5,2026-02-26 15:07:22,"perbaiki lah aplikasinya lihat map, menjauh lagi, bis nya atau Wira-wiri juga gak ada di maps",perbaiki lah aplikasinya lihat map menjauh lagi bis nya atau wira wiri juga gak ada di maps
DHAFIN MATTHEW,1,2026-02-26 12:16:12,aplikasi ga jelas login setengah jam ga bisa2,aplikasi ga jelas login setengah jam ga bisa
Agus Riyanto,1,2026-02-26 12:13:50,"Sering error sangat mengecewakan, tiba2 koneksi terputus sehingga tidak bisa dipakai padahal udah top up banyak",sering error sangat mengecewakan tiba koneksi terputus sehingga tidak bisa dipakai padahal udah top up banyak
Kin Indriani,1,2026-02-26 10:26:32,SAYA HERAN SAMA ORANG ORANG YANG PUNYA MOBIL ATAU TRUCK . CUMA BISA PARKIR SEMBARANGAN YANG NUTUTUPI HALTE BUS APA LAGI SUDAH SATU TAHUN INI SAYA PAKAI TRANSPOTASI UMUM BUS SBY . TAPI TIDAK ADA PERUBAHAN .PEMERINTAH HARUSNYA MENDISPLINKAN ORANG ORANG ITU AGAR TIDAK PARKIR YANG EMANG HARUSNYA BUKAN TEMPAT PARKIR UMUM . UNTUK DRIVER BUS JANGAN MAKAN GAJI BUTA YANG SETIAP HALTE DILEWATKAN HARUSNYA TAU JALUR RUTE HALTE YANG HARUS HENTIKAN AGAR PENUMPANG TIDAK MENUNGGU DI HALTE TRUS DI LEWATKAN SAJA,saya heran sama orang orang yang punya mobil atau truck cuma bisa parkir sembarangan yang nututupi halte bus apa lagi sudah satu tahun ini saya pakai transpotasi umum bus sby tapi tidak ada perubahan pemerintah harusnya mendisplinkan orang orang itu agar tidak parkir yang emang harusnya bukan tempat parkir umum untuk driver bus jangan makan gaji buta yang setiap halte dilewatkan harusnya tau jalur rute halte yang harus hentikan agar penumpang tidak menunggu di halte trus di lewatkan saja
QC Transfer,1,2026-02-26 09:46:22,"Tolong lah perbaiki bug nya, masak mau daftar aja udah nungguin lama tiba tiba gagal,",tolong lah perbaiki bug nya masak mau daftar aja udah nungguin lama tiba tiba gagal
Maulana Aditya,4,2026-02-23 16:25:35,tolong tambahin fitur bus penuh jadi tau,tolong tambahin fitur bus penuh jadi tau
