content,score,at,content_bersih
aplikasi thaekk🥺😭,1,2026-04-22 16:19:52,aplikasi thaekk
TIDAK BISA LOGIN.,1,2026-04-22 07:53:42,bisa login
"perlu banyak perbaikan di aplikasi ini, informasi dan detail, sangat mengecewakan seharusnya proyek pemerintah punya anggaran besar, dan jika hasilnya seperti ini ga ngerti lagi udah hahah, masa tidak ada info halte mana aja buat pemberhentiannya.",1,2026-04-21 15:57:20,perlu banyak baik aplikasi informasi detail sangat kecewa proyek perintah punya anggar besar jika hasil ini ga ngerti udah hahah masa ada info halte mana aja buat henti
map nya gk akurat,1,2026-04-20 21:26:23,map nya gk akurat
bagus.,5,2026-04-17 06:23:08,bagus
"sering ga keliatan icon bisnya udah jalan atau belum, tolong diperbaiki lagi.",1,2026-04-16 05:45:53,sering ga liat icon bis udah jalan belum baik
"aplikasi opooo....Iki kq sering eror koneksi terputus,GK niat blas cak",1,2026-04-13 15:11:07,aplikasi opoooiki kq sering eror koneksi terputusgk niat blas cak
"upgrade dong, suka error bus suka ga kebaca di peta, saldo sama tiket suka error",1,2026-04-13 11:08:48,upgrade dong suka error bus suka ga baca peta saldo sama tiket suka error
"setiap melihat lokasi wira-wiri tidak bisa terlihat rutenya, blank putih saja, tolong diperbaiki",1,2026-04-12 10:31:39,lihat lokasi wirawiri bisa lihat rute blank putih tolong baik
definisi kalau bisa susah kenapa tidak dibikin lebih susah lagi,1,2026-04-12 07:56:59,definisi kalau susah tidak bikin lebih susah
"aplikasi apa ini woy.. saldo yg sudah masuk gabisa di transfer ke rekening lain, kecewa bangett anjirr!!!! mana saldo banyak lagiii .. gimana sih 😑",1,2026-04-12 07:55:15,aplikasi apa woy saldo yg masuk gabisa transfer rekening kecewa bangett anjirr mana saldo banyak lagiii gimana sih
aplikasi ini masih banyak bug Sam tolong benerin denah nya agar lebih mudah,3,2026-04-11 00:04:56,aplikasi masih banyak bug sam benerin denah nya lebih mudah
gabisa login alasannya jaringan terputus terus padahal jaringan bagus,1,2026-04-10 16:40:44,gabisa login alas jaring putus terus padahal jaring bagus
"Aplikasi ini paling sering trouble, entah armada tidak terlihat, dipaksa update tapi tetap saja kualitas aplikasi tidak memuaskan. Gen Z banyak lho yang mahir mengelola server kenapa tidak dipergunakan untuk high qualitas",2,2026-04-09 14:25:53,aplikasi paling sering trouble entah armada lihat paksa update tetap kualitas aplikasi muas gen z banyak lho mahir kelola server tidak guna high qualitas
"Sering banget error, kadang tiket ilang, kadang jumlah tiket kembali ke hari2 sebelumnya, kadang ngga muncul mobilnya",2,2026-04-09 11:39:28,sering banget error kadang tiket ilang kadang jumlah tiket ke hari belum kadang ngga muncul mobil
good,5,2026-04-09 09:00:41,good
sering koneksi terputus.,1,2026-04-07 13:25:35,sering koneksi putus
koneksi internet terputus mulu,1,2026-04-05 19:24:33,koneksi internet putus mulu
"barusan no WW12 jalur Purabaya Kenpark yang seharusnya memilih jalur mendekati Halte malah menjauh dri Halte jadi saya selaku penumpang tidak terlihat oleh armada sering putus jaringan sehingga TDK terpantau armada yg mendekati Halte, hari ini Sabtu tgl 4 April 2026 armada dgn No.WW 14 arah Purabaya melaju tidak mendekati Halte melainkan menjauh di Halte SKG B. dan saya terpaksa menunggu lagi armada berikutnya... sampe kapan Iki koyok ngene Iki... Dishub ... kasih peringatan",1,2026-04-04 19:12:42,barusan no ww jalur purabaya kenpark harus pilih jalur dekat halte malah jauh dri halte jadi selaku tumpang lihat armada sering putus jaring tdk pantau armada yg dekat halte hari sabtu tgl april armada dgn noww arah purabaya laju dekat halte jauh halte skg b saya paksa tunggu armada ikut sampe kapan iki koyok ngene iki dishub kasih ingat
sudah bagus tapi bisa gak tambahin pin atau sidik jari agar saat bayar jadi lebih cepat tanpa masukin password,5,2026-04-04 16:18:01,bagus bisa gak tambahin pin sidik jari saat bayar jadi lebih cepat masukin password
"aplikasi gak jelass.. Mau masuk aja gak bisa dan selalu Koneksi terputus, kadang keluar sendiri, dulu enak dan gampang, sekarang kayak t*i",1,2026-03-31 22:39:08,aplikasi gak jelass mau masuk aja gak selalu koneksi putus kadang keluar sendiri dulu enak dan gampang sekarang kayak ti
PAK BU KERJA YANG BENER TERUTAMA BAGIAN IT NYA SAYA MAU DAFTAR AKUN KONEKSI TERPUTUS TERUS INI YANG LAINNYA UDAH PADA PROTES LOH KARENA ADA YANG TELAT MASUK KERJA KARENA APLIKASINYA KONEKSI TERPUTUS MAU SAMPAI KAPAN APLIKASINYA KAYAK GINI?!,1,2026-03-31 07:57:32,pak bu kerja bener utama bagi it nya mau daftar akun koneksi putus terus lain udah protes loh ada yang telat masuk kerja aplikasi koneksi putus mau kapan aplikasi kayak gin
gak bisa untuk tracking busnya. terus buat apa ada aplikasi ini?,1,2026-03-30 12:07:56,gak untuk tracking bus terus buat apa aplikasi
